distance_angstrom,elst10_hartree,exch10_hartree,disp20_hartree,exch_disp20_hartree,ind20r_hartree,exch_ind20r_hartree,total_hartree,elst10_kcal_mol,exch10_kcal_mol,disp20_kcal_mol,exch_disp20_kcal_mol,ind20r_kcal_mol,exch_ind20r_kcal_mol,total_kcal_mol
3.0,-4.230534960836252e-05,0.0005985208696772644,-0.0002349509324912607,1.7524107357628064e-05,-1.7344926617523314e-05,1.2359398395286133e-05,0.0003338031667130321,-0.026547007682799138,0.37557751614696944,-0.1474339360782259,0.010996543391410488,-0.01088410577942512,0.0077556395867623236,0.20946464958469205
4.0,1.4491196833277264e-05,1.6308454154786264e-05,-2.8140343782050138e-05,5.449329125413213e-07,-4.304813987472058e-07,1.619174308921282e-07,2.935676150699638e-06,0.009093363303394676,0.010233709489452108,-0.017658332326629108,0.0003419505653484778,-0.00027013115612180673,0.0001016047219007677,0.0018421645973451157
5.0,5.703122951283834e-06,3.8923037780681433e-07,-5.293899480458703e-06,1.1390191756917884e-08,-3.2495928954118153e-08,8.671464829912886e-10,7.782152579177364e-07,0.0035787636836773135,0.00024424574966693576,-0.0033219720787255594,7.147453238861398e-06,-2.0391503287190547e-05,5.441426334775304e-07,0.0004883374472038385
6.0,2.3399109114752292e-06,8.612215959319003e-09,-2.8755238761161067e-06,2.3936840537455643e-10,-7.1961550162169456e-09,-3.6692531080252075e-12,-5.339612045455086e-07,0.0014683162654143302,5.404247107150104e-06,-0.0018044184751575048,1.5020594216391082e-07,-4.515655449502835e-06,-2.302491088021293e-09,-0.00033506571463445145
7.0,1.0912787329897533e-06,-9.29799165769772e-11,-3.095225259366311e-06,2.9484735151364395e-11,-2.1304678539098753e-09,1.5527898677449294e-11,-2.006124961513216e-06,0.0006847877437946463,-5.834577854964987e-08,-0.0019422831746117762,1.8501950647722468e-08,-1.3368887625153272e-06,9.743903532391313e-09,-0.001258862419504015
8.0,5.622802414229078e-07,-9.135445295828686e-11,-3.50495069344118e-06,9.687834709973879e-12,-7.490860060682329e-10,1.3365968381509102e-11,-2.9434878386742073e-06,0.0003528361785713618,-5.73257847291768e-08,-0.0021993897662583727,6.079208063665954e-09,-4.7005856569590496e-07,8.3872717894248e-09,-0.0018470665055575828
9.0,3.1294179192453697e-07,-2.4406913467190858e-11,-3.7574042066848694e-06,2.3970383815400437e-12,-2.8982034068633823e-10,4.60283377112576e-12,-3.4447696421423335e-06,0.00019637393926293028,-1.531556943330053e-08,-0.002357806737579302,1.5041642941092573e-09,-1.8186500955687257e-07,2.8883217989190006e-09,-0.002161625586409269
10.0,1.8515105204564009e-07,-4.339191859716132e-12,-3.850830667009031e-06,3.886771262110607e-13,-1.2205365315563669e-10,9.128592417221247e-13,-3.6658047062720386e-06,0.00011618403929138927,-2.722884001749355e-09,-0.0024164327265608935,2.4389857904905987e-10,-7.65898236991736e-08,5.728278226666908e-10,-0.002300327183250804
11.0,1.1511871655933703e-07,-5.407378561073856e-13,-3.831203752460265e-06,4.3515104174479363e-14,-5.6166053703449025e-11,1.206672763132074e-13,-3.7161415785101067e-06,7.223808528296866e-05,-3.393181276919538e-10,-0.002404116651734916,2.7306140134328553e-11,-3.524473081965113e-08,7.571985909592754e-11,-0.002331914047474895
12.0,7.458132508797455e-08,-4.918593383200112e-14,-3.739196594855023e-06,3.5323408846112158e-15,-2.7865353823848072e-11,1.1400719139436322e-14,-3.6646431693737463e-06,4.6800488080884e-05,-3.0864639470221456e-11,-0.00234638128865601,2.2165773707139696e-12,-1.7485773522585095e-08,7.154059271128804e-12,-0.0022995983078426515
